EventName,EventType,EventSource,EventId,EventBusinessKey,EventDate,EventDateTimestamp,EventDetectionDate,EventDetectionDateTimestamp,EventPublishingDate,EventPublishingDateTimestamp,EventIndex,EventBatchCount,EventTarget,EventOwner,ANLAGE,ANLAGENART,BEREICH,BESCHREIBUNG,FELDBEZ,FELDBEZZUGANG,FELDBEZABGANG,ERPWERK,ERPWORKCENTERID,ERPANLAGE,KZPROGRAMMIERT,SCHICHT,KZSCHICHTAKTIV,SIVCONFIGID,KURZBEZ,NUTZGRADBASIS,NUTZGRADVERFUEGBAR,NUTZGRADNACHARBEIT,CAPACITY_BALANCE,SHIFT_DURATION,CAPACITY_GRID,PERFORMANCE_RATE,PERFORMANCE,ALGORITHM,RM_BALANCE,DISPLAY_MODE,OBJECTS_DIVIDABLE,CAMPAIGN_INTERVAL_BACKWARD,CAMPAIGN_INTERVAL_FORWARD,SORT_INTERVAL_BACKWARD,SORT_INTERVAL_FORWARD,MAXTRANSITIONTIME,MIDTRANSITIONTIME,MINTRANSITIONTIME,PRODUCTIONFACTOR,SPLITTBUILDMODE,DYNMATCHABLE,DYNMINWEIGHT,KZ_APS,ANLAGENSTATUS,ANZTAZUGANG,ANZTAABGANG,ANZTAVORLAGE,VORLAGERZEITABDTEINSATZ,LZONEINLET,LZONEOUTLET,ERSTELLER,ERSTELLDATUM,AENDERER,AENDDATUM,ARCHIVDATUM,UPDATEZAEHLER,SYSTEM,CATEGORY,CRITMACHINE_FLAG,SENDPG2L2_FLAG,ERPCOSTCENTERID,FELDBEZDISPLACE,LOTNR_ID,EQUIPMENTTYPE,EQUIPMENTNAME,POS,L2_FLAG,REIHEBEZVOR,REIHEBEZNACH,REIHEBEZIN,CONTROLOPT,LOADAMOUNTMIN,LOADAMOUNTMAX,PLANNEDREMAININGAMOUNT,CRITMACHINE_PRIO,KZMIXHEAT,PLANT_NAME
anlage,record-update,tenmes,AADSetAAMAAAA2GAAI,ATTBMS01,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBMS01,WMS,MB,WMS #1,ATTBMS01_LINE,ATTBMS01_ENTRY,ATTBMS01_EXIT,,,,Y,2228798,Y,,WMS #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:42.0,TNS_CYCLIC:T1ALG,20220912070104,,3430,PRJALG,ATTBMS01,Y,N,,ATTBMS01_ENTRY,,,,,N,,,,,,,,,Y,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAL,ATTBND02,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBND02,NDT,MB,Foerster NDT,ATTBND02_LINE,ATTBND02_ENTRY,ATTBND02_EXIT,,,,Y,2228806,Y,,Foerster NDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:42.0,TNS_CYCLIC:T1ALG,20220912070104,,3424,PRJALG,ATTBFN02,N,N,,ATTBND02_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAY,ATTBBO02,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBBO02,BON,MB,Buck on,ATTBBO02_LINE,ATTBBO02_ENTRY,ATTBBO02_EXIT,,,,Y,2228776,Y,,Buck on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070104,,3447,PRJALG,ATTBPR01,N,N,,ATTBBO02_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2HAAD,ATTBMS03,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBMS03,WMS,MB,WMS #3,ATTBMS03_LINE,ATTBMS03_ENTRY,ATTBMS03_EXIT,,,,Y,2228802,Y,,WMS #3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070104,,3422,PRJALG,ATTBFN03,Y,N,,ATTBMS03_ENTRY,,,,,Y,,,,,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2DAAU,ATTBCT05,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBCT05,CUT,MB,Cut off FIN3 Line,ATTBCT05_LINE,ATTBCT05_ENTRY,ATTBCT05_EXIT,,,,Y,2228786,Y,,Cut off FIN3 Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-12-23 17:01:14.0,TNS_CYCLIC:T1ALG,20220912070104,,1810,PRJALG,ATTBFN03,N,N,,ATTBCT05_ENTRY,,,,,Y,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAV,ATTBTH04,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBTH04,THR,MB,Premium Threading #2,ATTBTH04_LINE,ATTBTH04_ENTRY,ATTBTH04_EXIT,,,,Y,2228830,Y,,Premium Threading #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070104,,3438,PRJALG,ATTBPR01,Y,N,,ATTBTH04_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAG,ATTBHY01,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBHY01,HYD,MB,Hydrotesting #1,ATTBHY01_LINE,ATTBHY01_ENTRY,ATTBHY01_EXIT,,,,Y,2228792,Y,,Hydrotesting #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:42.0,TNS_CYCLIC:T1ALG,20220912070104,,3420,PRJALG,ATTBHY01,Y,N,,ATTBHY01_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2GAAA,ATTBBC01,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBBC01,BRC,MB,Bar Cutting,ATTBBC01_LINE,ATTBBC01_ENTRY,ATTBBC01_EXIT,,,,Y,2228772,Y,,Bar Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:42.0,TNS_CYCLIC:T1ALG,20220912070104,,3315,PRJALG,ATTBHR01,N,N,,ATTBBC01_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2EAAB,ATTBCT03,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBCT03,CUT,MB,Cut off NDT Line,ATTBCT03_LINE,ATTBCT03_ENTRY,ATTBCT03_EXIT,,,,Y,2228782,Y,,Cut off NDT Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-10-29 09:39:26.0,TNS_CYCLIC:T1ALG,20220912070104,,2357,PRJALG,ATTBND01,N,N,,ATTBCT03_ENTRY,,,,,N,,,,NOINSPPLN,,,,,N,AT
anlage,record-update,tenmes,AADSetAAMAAAA2HAAE,ATTBPU01,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:01:04.000Z,1663002064000,2022-09-12 12:29:59.000Z,1663003799000,1,1,*,ALGOMA,ATTBPU01,PRV,MB,Proveup EndCropper,ATTBPU01_LINE,ATTBPU01_ENTRY,ATTBPU01_EXIT,,,,Y,2228814,Y,,Proveup EndCropper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:60034309,2021-07-16 10:55:43.0,TNS_CYCLIC:T1ALG,20220912070104,,3420,PRJALG,ATTBWM01,N,N,,ATTBPU01_ENTRY,,,,,Y,,,,NOINSPPLN,,,,,N,AT
