PAR_ID,PO_NO,HIGH_VALUE,LOW_VALUE
REQUESTED_ORDER_PIECES,103518888,,217
REQUESTED_ORDER_PIECES,106983414,,167
REQUESTED_ORDER_PIECES,114136162,,189
REQUESTED_ORDER_PIECES,114829965,,217
REQUESTED_ORDER_PIECES,116605043,,3
REQUESTED_ORDER_PIECES,116687419,,196
REQUESTED_ORDER_PIECES,117983952,,3
REQUESTED_ORDER_PIECES,128702795,,217
REQUESTED_ORDER_PIECES,137032606,,260
REQUESTED_ORDER_PIECES,140567722,,21
REQUESTED_ORDER_PIECES,141609221,,106
REQUESTED_ORDER_PIECES,141671647,,217
REQUESTED_ORDER_PIECES,143718276,,21
REQUESTED_ORDER_PIECES,144392948,,254
REQUESTED_ORDER_PIECES,157323269,,14
REQUESTED_ORDER_PIECES,157867594,,14
REQUESTED_ORDER_PIECES,159258387,,106
REQUESTED_ORDER_PIECES,162802757,,3485
REQUESTED_ORDER_PIECES,173629728,,146
REQUESTED_ORDER_PIECES,177028698,,242
REQUESTED_ORDER_PIECES,177035646,,142
REQUESTED_ORDER_PIECES,179816417,,2755
REQUESTED_ORDER_PIECES,180308263,,150
REQUESTED_ORDER_PIECES,181477367,,408
REQUESTED_ORDER_PIECES,185267231,,7205
REQUESTED_ORDER_PIECES,185284835,,7260
REQUESTED_ORDER_PIECES,185776368,,7260
REQUESTED_ORDER_PIECES,186849105,,87
REQUESTED_ORDER_PIECES,189921561,,163
REQUESTED_ORDER_PIECES,191126207,,202
REQUESTED_ORDER_PIECES,194942545,,438
REQUESTED_ORDER_PIECES,195764225,,7205
REQUESTED_ORDER_PIECES,195947612,,7205
REQUESTED_ORDER_PIECES,197881592,,7205
REQUESTED_ORDER_PIECES,199601712,,7205
REQUESTED_ORDER_PIECES,201425139,,189
REQUESTED_ORDER_PIECES,201668137,,207
REQUESTED_ORDER_PIECES,202205251,,7205
REQUESTED_ORDER_PIECES,204148846,,7205
REQUESTED_ORDER_PIECES,205064650,,7683
REQUESTED_ORDER_PIECES,208854779,,7683
REQUESTED_ORDER_PIECES,208914399,,7683
REQUESTED_ORDER_PIECES,209936300,,7205
REQUESTED_ORDER_PIECES,211086565,,375
REQUESTED_ORDER_PIECES,212223616,,7205
REQUESTED_ORDER_PIECES,214938040,,202
REQUESTED_ORDER_PIECES,215108556,,189
REQUESTED_ORDER_PIECES,218280157,,383
REQUESTED_ORDER_PIECES,220643859,,7205
REQUESTED_ORDER_PIECES,220825306,,134
REQUESTED_ORDER_PIECES,222563971,,2164
REQUESTED_ORDER_PIECES,226034112,,7205
REQUESTED_ORDER_PIECES,230585421,,553
REQUESTED_ORDER_PIECES,232635446,,7205
