PAR_ID,PO_NO,HIGH_VALUE,LOW_VALUE
REQUESTED_ORDER_PIECES_TOL,100746649,95,95
REQUESTED_ORDER_PIECES_TOL,101214721,8,6
REQUESTED_ORDER_PIECES_TOL,109920112,239,217
REQUESTED_ORDER_PIECES_TOL,110070603,243,243
REQUESTED_ORDER_PIECES_TOL,127842624,231,209
REQUESTED_ORDER_PIECES_TOL,133002921,23,21
REQUESTED_ORDER_PIECES_TOL,133319841,288,279
REQUESTED_ORDER_PIECES_TOL,133439867,2396,2178
REQUESTED_ORDER_PIECES_TOL,136606624,168,163
REQUESTED_ORDER_PIECES_TOL,142737995,94,91
REQUESTED_ORDER_PIECES_TOL,157736245,259,251
REQUESTED_ORDER_PIECES_TOL,159552709,236,229
REQUESTED_ORDER_PIECES_TOL,160583635,268,243
REQUESTED_ORDER_PIECES_TOL,173683749,28,26
REQUESTED_ORDER_PIECES_TOL,176144644,294,285
REQUESTED_ORDER_PIECES_TOL,176180310,324,314
REQUESTED_ORDER_PIECES_TOL,176829483,13,10
REQUESTED_ORDER_PIECES_TOL,176941145,276,178
REQUESTED_ORDER_PIECES_TOL,177197127,422,409
REQUESTED_ORDER_PIECES_TOL,177309548,7,6
REQUESTED_ORDER_PIECES_TOL,178891458,380,369
REQUESTED_ORDER_PIECES_TOL,179103069,3366,3060
REQUESTED_ORDER_PIECES_TOL,180399125,8787,7989
REQUESTED_ORDER_PIECES_TOL,186854745,89,86
REQUESTED_ORDER_PIECES_TOL,189499947,2875,2614
REQUESTED_ORDER_PIECES_TOL,191130643,206,199
REQUESTED_ORDER_PIECES_TOL,192427230,137,133
REQUESTED_ORDER_PIECES_TOL,194925189,447,434
REQUESTED_ORDER_PIECES_TOL,195517544,214,208
REQUESTED_ORDER_PIECES_TOL,196444253,7926,7205
REQUESTED_ORDER_PIECES_TOL,198042038,7926,7205
REQUESTED_ORDER_PIECES_TOL,198619306,7926,7205
REQUESTED_ORDER_PIECES_TOL,198780868,7926,7205
REQUESTED_ORDER_PIECES_TOL,198829578,7926,7205
REQUESTED_ORDER_PIECES_TOL,201571488,419,407
REQUESTED_ORDER_PIECES_TOL,205727552,7926,7205
REQUESTED_ORDER_PIECES_TOL,208191655,7926,7205
REQUESTED_ORDER_PIECES_TOL,213035955,2875,2614
REQUESTED_ORDER_PIECES_TOL,213982920,7926,7205
REQUESTED_ORDER_PIECES_TOL,214544576,329,319
REQUESTED_ORDER_PIECES_TOL,218594668,391,379
REQUESTED_ORDER_PIECES_TOL,221456362,7926,7205
