PO_NO,PO_GROUP_NO
232913220,232908940
225687999,225692621
225739426,225757146
225869902,225878840
225932638,225928644
229905959,229902335
229920123,229920123
229941483,
229951823,
224240419,
224758675,
101122117,
101964207,
102687703,
102801813,
103173019,
108778241,
108832187,
108841370,
109271798,
110049938,
110484776,
110619936,
111005616,
111411234,
112311029,
112737173,
114191855,
114545176,
116418939,
117960537,
119142750,
119568630,
119872038,
120260733,
122657332,
124627877,
125307810,
125451219,
126364756,
127494770,
127783810,
129801364,
130806222,
131022534,
132080275,
132084291,
132091661,
132793519,
133039763,
133312938,
133327305,
133414617,
135254887,
135285002,
136765233,
136820189,
136916047,
140501985,
140764477,
140848839,
142143844,
142497328,
142685126,
143664622,
143940451,
144586006,
148151543,
148399680,
149736019,
153510993,
153763937,
154013848,
154060473,
154158983,
154791422,
155347238,
156498676,
156899045,
157626612,
158007794,
158134291,
158547207,
159007801,
159071036,
160024621,
162051131,
162176881,
162199544,
162514922,
162854245,
164694900,
167149799,
168591804,
171201207,
172626819,
173162524,
173173547,
173626315,
173973757,
174010839,
174060199,
175899405,
176560612,
177637611,
178286528,
178483755,
178578009,
178958330,
179095023,179095023
179308043,
179483375,
179627564,
179809997,
179924770,
180032645,
180090241,
180650776,
180739586,
180780397,180780397
180789013,
180941336,
180972979,
181315231,
183757037,
184425131,
184503688,
185320696,185312332
185390052,
185700436,
185822161,
186461852,
186499889,186499889
186559335,
186604074,
186716081,
186868073,186866761
186872021,186870706
187468396,
187480041,
187613171,
188265463,188257157
188595644,188586852
188795751,188795751
189491434,
189693945,189693945
189703960,189693945
191092443,
191286928,
191489940,
191519010,
191595908,
191603957,
192035137,192043261
192388547,
192625154,
192758083,192753945
192875503,
193139993,
193580399,
193971368,193963102
194412610,194412610
194574108,
194766548,194775304
195381757,195385894
195517544,195513641
195531423,195531423
195665381,
195727626,195720167
195759177,
196026711,196026711
196096825,196096825
196275851,
196382337,196389799
197005169,
197069113,
197143487,
197442367,197446872
197780642,
198132557,
198446516,198446516
198711805,
198824529,
199184383,
199271650,
199943688,199947673
200417298,
200438366,
200491439,
200557382,
200565982,200576001
200657849,
200730615,200735509
200740373,
200780784,200782684
201553639,
201676894,
201786829,
202643980,202639848
202661703,
203215495,
203454100,
203709949,
203947767,203947767
204016918,204016918
204402980,
204860677,204865084
205459296,
206240682,
206959924,
207373183,
207415382,
207785411,
207858370,
207903041,
209167620,
210074412,
210843210,210834140
210899985,
211250840,
211369109,
211544581,211544581
211672026,211668197
211715737,
211906149,
212143757,
212692195,212692195
212978185,
213548153,213548153
214887771,214892801
215033942,
215082731,
215181013,
215851528,
217179063,
217780755,
217939951,217947968
218492648,
218724150,
221809267,221817267
225527748,
225757147,
225928646,
83844057,
83853321,
84735663,
91892346,
92311014,
92530390,
93140866,
94592682,
96115485,
97721869,
223771816,223768177
224064278,224064278
224491572,224498678
225060787,225064845
223150404,223146772
223395352,223395352
223568845,
232500291,
230589521,230585421
226055604,226055604
232450302,
100054090,
101731160,
102119900,
102418434,
102623034,
103244705,
105269152,
107374560,
108296088,
110259514,
110349344,
114649562,
116439898,
116655478,
116747368,
117769729,
117888258,
119173505,
121187214,
121286705,
122740131,
123186818,
123333426,
123335443,
125365453,
127271060,
127590196,
128753427,
128791125,
132297857,
133657237,
134138665,
134861521,
140030469,
140887817,
141121738,
144040623,
144332456,
146721596,
146771880,
147110315,
148455264,
153552679,
153570755,
153889024,
154114734,
154473137,
156628278,
156726252,
157755523,
158197408,
158996952,
159166642,
159394065,
159427702,
159442499,
159690820,
159695960,
159977849,
160045339,
161715424,
162759907,
165068682,
165187515,
169747343,
169973829,
170148785,
172462325,
172734385,
172767225,
174158106,
175550339,
175962216,
176240503,
176867464,
176886446,
177703973,
177759348,
179636274,179636274
180036766,
180366877,180366877
180811782,
180991252,
181007017,181007017
181382805,181382805
181438195,
183261173,183261173
183362777,183356055
183387239,
183487021,183473566
183530863,
183715412,
183840292,
183848615,
184182025,
184249573,184235866
184408165,
184630685,184626507
185053472,185053472
185159049,
185575555,
185638979,
185923325,
186090630,
186208637,
186376689,
186412266,
186688170,
186821126,
187033146,
187202078,
187452077,
187592114,187592114
187718288,
187864444,187864444
188030043,
188294421,
188503927,
188646123,
188651586,
188859352,
189259545,
189274156,189274156
189596803,
189660744,
189822318,
190056765,190056765
190118695,190118695
190131462,
190456036,
190530002,
190543987,
190761114,
190761116,
190787960,
191017927,
191462260,
191690768,
191716280,
191748839,
192522795,192518366
192531732,
192576052,
193068348,
193091434,
193454743,
193967243,
194065442,194061300
194107076,194103315
194566035,
194591003,194586579
194678469,
194942545,194933889
194981898,194977543
195124095,
195525318,195531423
195720168,
195839830,195830517
195853938,
196703225,196703225
196779402,
196857001,196861629
197331128,
197353018,197348555
197433403,
197503973,
197798213,
198160860,
198191936,198182838
198598204,198598204
198605304,198605304
198677010,
199189309,199184668
199598714,
199598717,
199615746,199611097
200374317,200369862
200745159,
200919307,200919307
201218016,201209135
201379094,201379094
201401286,
201715860,
201844039,
202179465,
202693720,
202806409,
203113278,203108970
203475493,203479599
203753072,203753072
204227165,204227165
204355893,204351426
204530991,204535272
205069714,205080045
205074220,
205367987,
205583759,
206481905,
206705916,
206740902,
207055906,
207316150,
207454575,
207661291,
207727604,
209182992,209186773
209325465,
209414702,
209823042,209832368
210129782,210139888
211672028,
212662509,212692195
213364632,
214548544,214557621
214696328,
215087333,
216488876,216498248
217129083,217129083
217239775,
217568145,
217572468,217563763
217678922,
217947969,
218383925,
218438105,
218729921,218743151
218820989,
218829497,
83910000,
84135883,
88204402,
89769906,
91247271,
93186002,
97626178,
97732865,
99890749,
225826180,
226005636,
226059284,
232754493,
226226798,
219338802,219338802
220724295,
221241277,221241277
232407655,232407655
232485992,232478797
232545565,
232027425,232024956
224031244,224027148
100093204,
100854205,
101831559,
106009164,
108766403,
109714403,
110968449,
111593413,
114807170,
115719136,
116319609,
117025971,
117251434,
117631141,
118754459,
119922891,
120202807,
121548730,
125622972,
125979357,
126094231,
126252060,
127529450,
129780213,
130057595,
130100825,
132085330,
132956801,
133043003,
133138180,
133336577,
133419429,
135537381,
136337200,
136421001,
137273597,
140778530,
141453397,
141682165,
142742450,
144469567,
147274886,
147304015,
147540363,
148034252,
148275714,
148699143,
154366766,
154772184,
155304785,
156201131,
156302062,
156412481,
156712336,
157042306,
157150056,
157169460,
157656993,
157932242,
158214164,
159018026,
159108249,
159393316,
159550518,
160078255,
160295522,
160890173,
161834032,
164627253,
166105272,
168186493,
171211552,
172857278,
173194965,
173295961,
173747594,
174664453,
176748998,
177288917,
177670386,
177682711,
177708418,
177822137,
177894346,
178400952,
178662417,
178907606,
179299265,
179388394,179388394
179836840,
180406639,
180590208,180590208
180661979,180661979
180816340,
181156734,181156734
181936424,181936424
183306385,183306385
183431632,
183439011,
183538766,
184005344,
185709914,
185946920,
185981427,185981427
187043770,187037283
188104358,
188176853,188176853
188221387,
188272430,
188395200,
188525840,
188917103,
189064723,
189130649,
189272398,
189294078,189284106
189351458,
189546061,
189713315,189711142
189730455,
189873459,
189893749,189893749
190086574,
190718015,
190719440,
191258861,191258861
191323948,
191570962,
192222293,
192608959,
192790501,
193021516,193030299
193024347,
193485077,
193546924,
193723425,
193737869,
193772952,
193874237,
193883245,193879098
193941586,
194249340,
194305744,
194404470,194400389
194570571,194566996
195432761,
195513641,195513641
195735763,
196003406,
196185800,
196534690,
196884764,
196940988,196932144
196952786,
196954070,
197154254,
197419948,197424453
197723029,
197753482,
197881595,
197957258,
198042041,
198256654,198248888
198389362,
199136416,
199437048,
199469738,199461175
199482754,199482754
199714058,199721965
199962543,
199966258,
200012078,
200510445,
200599687,
200701589,200711278
200752832,
200776170,200776170
201400204,
201494524,
201709938,
201745853,201745853
201786827,201782502
201994407,
202075048,
202740389,202747829
202903752,
202929998,
203325648,
203458440,
203462940,
204109537,
204291667,
204360363,204364778
204513864,204509580
204732493,
205289864,205278672
205508490,
205937849,
206139243,
206564566,
206667776,206672303
207320660,
207342894,
207593916,
207797105,
207867269,207876172
208123764,
208725594,208720781
208730276,208720781
209753606,
209981600,209991433
210064364,
210858148,
210964222,210984370
211213736,211213736
211457576,
212182972,212174893
212377659,
212535176,212530504
212957841,212953564
213219222,213219222
213482566,213474345
214020285,
214188792,
214254152,
214925707,
215209816,
215255435,
215294747,215304513
215383074,
215843237,
216063883,
216068226,
216174101,216182298
216190599,
216474736,216474736
216503017,
216932732,
217487981,217492985
218418489,
218631867,
218668618,
218815389,
218822406,218823823
84480309,
87109136,
92038846,
93175185,
94072362,
94155421,
94190573,
94698622,
95378979,
97565559,
226230932,
223150406,
222703920,
222724969,
229828901,229824448
229905960,
229218377,229218377
222640047,222650455
224602955,
223650232,
222535901,222535901
222615786,
222687087,222682618
222724967,222720542
222831242,
222836364,
216688593,216724026
216758968,216762439
217423519,
217743986,
218205069,
218210218,
218403754,218408668
218640487,218627469
219172623,219167465
220966382,
221373843,221373843
221555099,
222107591,
224628141,224617715
229855310,
218910591,218910591
231545667,231554025
224889292,
223032996,
232054660,232054660
230903425,
230935248,
223586191,
230829626,230829626
232414792,
232585143,
232631820,
224274285,
222999616,223003417
229773396,229782137
230967071,
225193435,225185266
219435951,219440145
220416738,220406884
220554874,
220667496,
220672287,220667494
220845474,
221084842,221074962
221121732,
221461047,
230084298,
232017537,
232110528,
231002724,
229218379,
232851786,
229720663,
100796180,
101109685,
101117334,
102024230,
104013865,
104054071,
106710180,
108168443,
108278457,
108952685,
110910890,
111456385,
111463727,
111611943,
111622160,
112472540,
115518195,
115529813,
116659736,
117264086,
117887295,
117887590,
117939316,
118175701,
119772502,
119837170,
121915024,
123011477,
123041802,
123263119,
124940277,
127582728,
128115916,
129302220,
129323401,
129344577,
129370130,
130112515,
131359188,
131723307,
132040851,
132163006,
132865277,
133017248,
133021709,
134009200,
135477071,
137158509,
140668244,
140792861,
141078721,
142214972,
142469756,
142740143,
142786055,
142927430,
143697943,
144440963,
145078272,
146689853,
153911108,
154801007,
157384999,
157515262,
157723987,
158131053,
158714409,
160276035,
160561226,
162590047,
162802757,
162902142,
162931236,
163139810,
163229072,
165194859,
165242120,
165840921,
166407591,
169016782,
169169774,
169248739,
169633654,
171500140,
172037887,
172731223,
173435004,
173759555,
173922991,
174643122,
174815510,
176448279,
176887030,
176994089,
177159683,
177208450,
178135667,178135667
178663676,178663676
178851522,178851522
178883126,
178887040,
178903422,
178928848,
179367160,
179472476,
179644542,
179728878,
179963387,
180860634,180860634
181414944,181414944
181455765,
182503682,
183054269,183054269
183247588,
183590314,
183959753,
184023037,
184105428,184105428
184153006,184142417
184242717,
184294212,
184942787,
184985620,
185144755,
185452433,
185656307,
185878401,185878401
186105551,
186243172,
186440448,
186523067,
186679697,
187067405,
187164022,187164022
187463647,
187494026,187490536
188017149,
188144261,
188803884,188795751
188912488,
189240551,
189328250,
189635246,189630260
189917118,
190100036,
190228791,190228791
190354878,
190543989,
190550914,
190559812,190553937
190606940,
190804597,
191324266,
191393552,
191509660,191504746
191566749,
191970799,191964126
192096936,
192151380,
192624710,
192933542,192924646
193115189,
193554982,
193639969,193635564
193718823,
193839157,
193900294,
193905015,
194305743,
194884305,
195429256,195425709
195534482,
195563592,195566667
195886669,
196389801,
196761604,196770509
197064888,197073987
197199299,197194767
197363044,
197802485,197793924
198247593,
198313795,198309793
198452810,
198562607,
199011076,
199847524,
200115666,200106633
200711278,200711278
201543161,
201543746,
202163126,
202283848,202283848
202599518,
203152326,203152326
203494542,
203643295,
203768452,
204597008,
204816029,
204825429,
204891052,
205492034,
205693357,205693357
206027261,
206058562,
206394564,
206571848,
206749648,
206869201,
207603416,
207610634,
207754203,
207903040,
208841149,208831674
208859366,
208946505,
209264842,209255452
209427646,209431911
210674419,
211172511,211182229
211411533,211399501
211525148,
211812680,
212315203,
212417839,
213219223,
214123264,214113827
214362137,214350243
214642614,214647610
215025994,215029940
215200610,215200610
215221795,
215851526,
216059534,216063881
216251705,216256855
216507728,216498248
216766020,216762439
216769547,
217423522,
217452205,
217956088,
218036456,
218383926,
218644833,218656700
219033439,
219330379,219326171
220579890,
220892367,
220924417,
221065066,221074962
221517087,221520505
222185660,222185660
84019627,
84343466,
84462212,
86473645,
91905761,
92329746,
92641955,
94184718,
94669054,
94945850,
95418614,
96294220,
97283218,
99509776,
231975464,
216788463,216783319
216913916,
216998555,
217764311,217764311
218256304,
218316110,218324121
218640489,
218812585,
218906397,218910591
210069389,
210510495,210522245
210552589,
210773766,
211273564,
211369108,
211581080,211566738
211586601,
211687446,211687446
214254153,
214258883,
214434282,
214611423,
